workload,metric,effect,round,absolute_delta,relative_delta,relative_delta_unit
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,tuning_main,3,-2.429,-0.203986,percent
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,interaction,3,9.394,0.790668,percentage_points
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,segmented_tuned_vs_old_baseline,3,12.478,1.052409,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,seam_main,1,0.009,0.27248,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,tuning_main,1,0.038,1.155542,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,interaction,1,-0.012,-0.370181,percentage_points
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,segmented_tuned_vs_old_baseline,1,0.047,1.43249,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,seam_main,2,0.0315,0.950513,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,tuning_main,2,0.0205,0.617563,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,interaction,2,-0.035,-1.06355,percentage_points
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,segmented_tuned_vs_old_baseline,2,0.052,1.578149,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,seam_main,3,-0.0435,-1.301226,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,tuning_main,3,0.0095,0.286447,percent
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,interaction,3,-0.021,-0.630363,percentage_points
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,segmented_tuned_vs_old_baseline,3,-0.034,-1.020102,percent
shared_tool_scaffold_agent,mean_ttft_ms,seam_main,1,-0.961,-0.652796,percent
shared_tool_scaffold_agent,mean_ttft_ms,tuning_main,1,-3.075,-2.073919,percent
shared_tool_scaffold_agent,mean_ttft_ms,interaction,1,-5.714,-3.827417,percentage_points
shared_tool_scaffold_agent,mean_ttft_ms,segmented_tuned_vs_old_baseline,1,-4.036,-2.739577,percent
shared_tool_scaffold_agent,mean_ttft_ms,seam_main,2,5.207,3.562108,percent
shared_tool_scaffold_agent,mean_ttft_ms,tuning_main,2,-4.366,-2.89208,percent
shared_tool_scaffold_agent,mean_ttft_ms,interaction,2,-0.434,-0.183635,percentage_points
shared_tool_scaffold_agent,mean_ttft_ms,segmented_tuned_vs_old_baseline,2,0.841,0.567277,percent
shared_tool_scaffold_agent,mean_ttft_ms,seam_main,3,4.383,3.015013,percent
shared_tool_scaffold_agent,mean_ttft_ms,tuning_main,3,3.258,2.232501,percent
shared_tool_scaffold_agent,mean_ttft_ms,interaction,3,0.218,0.084016,percentage_points
shared_tool_scaffold_agent,mean_ttft_ms,segmented_tuned_vs_old_baseline,3,7.641,5.313704,percent
shared_tool_scaffold_agent,mean_latency_ms,seam_main,1,4.7615,0.218205,percent
shared_tool_scaffold_agent,mean_latency_ms,tuning_main,1,-6.6905,-0.305802,percent
shared_tool_scaffold_agent,mean_latency_ms,interaction,1,-33.773,-1.540672,percentage_points
shared_tool_scaffold_agent,mean_latency_ms,segmented_tuned_vs_old_baseline,1,-1.929,-0.088607,percent
shared_tool_scaffold_agent,mean_latency_ms,seam_main,2,34.4755,1.581461,percent
shared_tool_scaffold_agent,mean_latency_ms,tuning_main,2,3.0035,0.136789,percent
shared_tool_scaffold_agent,mean_latency_ms,interaction,2,59.873,2.726533,percentage_points
shared_tool_scaffold_agent,mean_latency_ms,segmented_tuned_vs_old_baseline,2,37.479,1.708683,percent
shared_tool_scaffold_agent,mean_latency_ms,seam_main,3,10.1845,0.468328,percent
shared_tool_scaffold_agent,mean_latency_ms,tuning_main,3,7.4335,0.341609,percent
shared_tool_scaffold_agent,mean_latency_ms,interaction,3,4.855,0.221896,percentage_points
shared_tool_scaffold_agent,mean_latency_ms,segmented_tuned_vs_old_baseline,3,17.618,0.811086,percent
shared_tool_scaffold_agent,request_throughput_rps,seam_main,1,-0.004,-0.221239,percent
shared_tool_scaffold_agent,request_throughput_rps,tuning_main,1,0.006,0.332779,percent
shared_tool_scaffold_agent,request_throughput_rps,interaction,1,0.028,1.556328,percentage_points
shared_tool_scaffold_agent,request_throughput_rps,segmented_tuned_vs_old_baseline,1,0.002,0.110375,percent
shared_tool_scaffold_agent,request_throughput_rps,seam_main,2,-0.0285,-1.574586,percent
shared_tool_scaffold_agent,request_throughput_rps,tuning_main,2,-0.0015,-0.083496,percent
shared_tool_scaffold_agent,request_throughput_rps,interaction,2,-0.047,-2.616436,percentage_points
shared_tool_scaffold_agent,request_throughput_rps,segmented_tuned_vs_old_baseline,2,-0.03,-1.667593,percent
shared_tool_scaffold_agent,request_throughput_rps,seam_main,3,-0.0075,-0.413565,percent
shared_tool_scaffold_agent,request_throughput_rps,tuning_main,3,-0.0055,-0.303448,percent
shared_tool_scaffold_agent,request_throughput_rps,interaction,3,-0.005,-0.2767,percentage_points
shared_tool_scaffold_agent,request_throughput_rps,segmented_tuned_vs_old_baseline,3,-0.013,-0.716253,percent
